Timestamp              , Class     , Confidence         , X1 , Y1 , X2 , Y2
Timestamp              , Class     , Confidence         , X1 , Y1 , X2 , Y2
Timestamp              , Class     , Confidence         , X1 , Y1 , X2 , Y2
Timestamp              , Class     , Confidence         , X1 , Y1 , X2 , Y2
Timestamp              , Class     , Confidence         , X1 , Y1 , X2 , Y2
Timestamp              , Class     , Confidence         , X1 , Y1 , X2 , Y2
Timestamp              , Class     , Confidence         , X1 , Y1 , X2 , Y2
Timestamp              , Class     , Confidence         , X1 , Y1 , X2 , Y2
Timestamp              , Class     , Confidence         , X1 , Y1 , X2 , Y2
Timestamp              , Class     , Confidence         , X1 , Y1 , X2 , Y2
Timestamp              , Class     , Confidence         , X1 , Y1 , X2 , Y2
Timestamp              , Class     , Confidence         , X1 , Y1 , X2 , Y2
Timestamp              , Class     , Confidence         , X1 , Y1 , X2 , Y2
Timestamp              , Class     , Confidence         , X1 , Y1 , X2 , Y2
Timestamp              , Class     , Confidence         , X1 , Y1 , X2 , Y2
Timestamp              , Class     , Confidence         , X1 , Y1 , X2 , Y2
2025-03-12 12:44:23.017, person    , 0.9432158470153809 , 123, 58 , 620, 478
2025-03-12 12:44:25.019, person    , 0.9585543274879456 , 102, 54 , 611, 478
2025-03-12 12:44:27.097, person    , 0.9548228979110718 , 19 , 56 , 614, 478
2025-03-12 12:44:29.113, person    , 0.951444685459137  , 11 , 55 , 611, 478
2025-03-12 12:44:29.113, cell phone, 0.4348659813404083 , 87 , 150, 223, 359
2025-03-12 12:44:29.113, cell phone, 0.33416444063186646, 93 , 150, 223, 359
2025-03-12 12:44:31.177, person    , 0.9613885283470154 , 114, 54 , 608, 478
2025-03-12 12:44:33.256, person    , 0.9656683206558228 , 45 , 55 , 609, 478
2025-03-12 12:44:35.273, person    , 0.9311361908912659 , 19 , 61 , 611, 478
2025-03-12 12:44:35.273, cell phone, 0.32997867465019226, 130, 79 , 274, 467
2025-03-12 12:44:37.385, person    , 0.9194256663322449 , 35 , 58 , 610, 478
2025-03-12 12:44:39.481, person    , 0.9592670202255249 , 82 , 64 , 609, 478
2025-03-12 12:44:41.481, person    , 0.9579418897628784 , 31 , 56 , 590, 478
2025-03-12 12:44:43.497, person    , 0.9642478227615356 , 75 , 81 , 584, 478
2025-03-12 12:44:45.561, person    , 0.924899160861969  , 114, 111, 621, 478
2025-03-12 12:44:47.609, person    , 0.9505839943885803 , 116, 106, 638, 479
2025-03-12 12:44:49.619, person    , 0.8420226573944092 , 73 , 2  , 636, 477
2025-03-12 12:44:49.619, person    , 0.2977786064147949 , 19 , 4  , 639, 478
2025-03-12 12:44:51.648, person    , 0.5166246294975281 , 116, 109, 640, 479
2025-03-12 12:44:53.710, person    , 0.8268795609474182 , 89 , 108, 640, 480
2025-03-12 12:44:55.737, person    , 0.9319347143173218 , 174, 124, 639, 478
2025-03-12 12:44:57.764, person    , 0.94562828540802   , 58 , 34 , 623, 477
2025-03-12 12:44:59.833, person    , 0.9565876722335815 , 24 , 16 , 620, 478
2025-03-12 12:45:01.837, person    , 0.9681471586227417 , 26 , 19 , 620, 478
2025-03-12 12:45:03.881, person    , 0.9554668068885803 , 30 , 19 , 617, 478
Timestamp              , Class     , Confidence         , X1 , Y1 , X2 , Y2
Timestamp              , Class     , Confidence         , X1 , Y1 , X2 , Y2
2025-03-12 12:45:39.474, person    , 0.9560738205909729 , 39 , 18 , 627, 478
2025-03-12 12:45:41.617, person    , 0.9693931937217712 , 86 , 70 , 601, 478
